,CAS,CAS_primary,CFR,CODEX ALIMENTARIUS (GSFA),DEA NO.,DRUG BANK,ECHA (EC/EINECS),EMA ASSESSMENT REPORTS,EPA PESTICIDE CODE,EVMPD,"Food Contact Sustance Notif, (FCN No.)",INN,IUPHAR,JECFA EVALUATION,JECFA MONOGRAPH,LIVERTOX,MERCK INDEX,MESH,NCI_THESAURUS,NDF-RT,RXCUI,UNII,WHO INTERNATIONAL PHARMACPOEIA,WHO-ATC,WHO-ESSENTIAL MEDICINES LIST,WHO-VATC,WIKIPEDIA,mixture_UNII,names,preferred_names,substanceClass,uuid,PT_from_unii,RN_from_unii,EC_from_unii,NCIT_from_unii,RXCUI_from_unii,ITIS_from_unii,NCBI_from_unii,PLANTS_from_unii,GRIN_from_unii,INN_ID_from_unii,MF_from_unii,INCHIKEY_from_unii,SMILES_from_unii,UNII_TYPE_from_unii,qid_cas,qid_unii,inchikey_from_wd,inchikey
3967,1391054-15-1,,,,,,,,,,,,,,,,,,,,,YH5RAY1N4B,,,,,,,"7-(2-METHYLPROPYL)-1-(4-(2-METHYLPROPYL)PHENYL)-1,2,3,4-TETRAHYDRONAPHTHALENE-1,4-DICARBOXYLIC ACID|(1RS,4RS)-7-(2-METHYLPROPYL)-1-(4-(2-METHYLPROPYL)PHENYL)-1,2,3,4-TETRAHYDRONAPHTHALENE-1,4-DICARBOXYLIC ACID|1,4-NAPHTHALENEDICARBOXYLIC ACID, 1,2,3,4-TETRAHYDRO-7-(2-METHYLPROPYL)-1-(4-(2-METHYLPROPYL)PHENYL)-|IBUPROFEN IMPURITY G","7-(2-METHYLPROPYL)-1-(4-(2-METHYLPROPYL)PHENYL)-1,2,3,4-TETRAHYDRONAPHTHALENE-1,4-DICARBOXYLIC ACID",chemical,1266b79f-de70-40be-a4cc-2deaae81f43a,"7-(2-METHYLPROPYL)-1-(4-(2-METHYLPROPYL)PHENYL)-1,2,3,4-TETRAHYDRONAPHTHALENE-1,4-DICARBOXYLIC ACID",1391054-15-1,,,,,,,,,C26H32O4,,CC(C)Cc1ccc(cc1)[C@@]2(CC[C@H](c3c2cc(cc3)CC(C)C)C(=O)O)C(=O)O,INGREDIENT SUBSTANCE,,Q27294524,,
3993,396091-73-9,396091-73-9,,,,DB06663,,"SIGNIFOR (AUTHORIZED: ACROMEGALY, PITUITARY ACTH HYPERSECRETION)",,SUB31564,,8384.0,2018,,,,M8425,C517782,C69131,,1364105,98H1T17066,,H01CB05,,QH01CB05,PASIREOTIDE,,PASIREOTIDE|CYCLO((4R)-4-(2-AMINOETHYLCARBAMOYLOXY)-L-PROLYL-L-PHENYLGLYCYL-D-TRYPTOPHYL-L-LYSYL-4-O-BENZYL-L-TYROSYL-L-PHENYLALANYL-)|SOM230|SOM 230|SOM-230|بازيريوتيد|pasiréotide|pasireotidum|帕瑞肽|pasireotida|пасиреотид,PASIREOTIDE,chemical,1289ea7d-b6db-4645-8ac6-13257161a39e,PASIREOTIDE,396091-73-9,,C69131,1364105.0,,,,,8384.0,C58H66N10O9,VMZMNAABQBOLAK-DBILLSOUSA-N,c1ccc(cc1)C[C@H]2C(=O)N3C[C@@H](C[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)Cc4ccc(cc4)OCc5ccccc5)CCCCN)Cc6c[nH]c7c6cccc7)c8ccccc8)OC(=O)NCCN,INGREDIENT SUBSTANCE,Q3896970,Q3896970,VMZMNAABQBOLAK-IXZCVAHUSA-N,
3996,2752-65-0,2752-65-0,,,,,,,,,,,,,,,M5661,,,,,8N585K83U2,,,,,,,"GAMBOGIC ACID|2-BUTENOIC ACID, 2-METHYL-4-((1R,3AS,5S,11R,14AS)-3A,4,5,7-TETRAHYDRO-8-HYDROXY-3,3,11-TRIMETHYL-13-(3-METHYL-2-BUTEN-1-YL)-11-(4-METHYL-3-PENTEN-1-YL)-7,15-DIOXO-1,5-METHANO-1H,3H,11H-FURO(3,4-G)PYRANO(3,2-B)XANTHEN-1-YL)-, (2Z)-|(-)-GAMBOGIC ACID|R-GAMBOGIC ACID|.BETA.-GUTTIFERIN|(2Z)-2-METHYL-4-((1R,3AS,5S,11R,14AS)-3A,4,5,7-TETRAHYDRO-8-HYDROXY-3,3,11-TRIMETHYL-13-(3-METHYL-2-BUTEN-1-YL)-11-(4-METHYL-3-PENTEN-1-YL)-7,15-DIOXO-1,5-METHANO-1H,3H,11H-FURO(3,4-G)PYRANO(3,2-B)XANTHEN-1-YL)-2-BUTENOIC ACID",GAMBOGIC ACID,chemical,128beb3c-bc46-4974-b714-1121c6400d6b,GAMBOGIC ACID,2752-65-0,,,,,,,,,C38H44O8,GEZHEQNLKAOMCA-RRZNCOCZSA-N,CC(=CCC[C@@]1(C=Cc2c(c3c(c(c2O1)CC=C(C)C)O[C@@]45[C@H]6C[C@@H](C=C4C3=O)C(=O)[C@@]5(OC6(C)C)C/C=C(/C)\C(=O)O)O)C)C,INGREDIENT SUBSTANCE,Q5519727,Q5519727,GEZHEQNLKAOMCA-PLUQQRNKSA-N,
4015,67799-04-6,67799-04-6,,,,,267-101-1,,,,,,,,,,,,,,,P1IO9HNJ3V,,,,,,,"ISOSTEARAMIDOPROPYL DIMETHYLAMINE|ISOOCTADECANAMIDE, N-(3-(DIMETHYLAMINO)PROPYL)-|3-ISOSTEARAMIDOPROPYLDIMETHYLAMINE|DIMETHYLAMINOPROPYLISOSTEARAMIDE|MACKINE 401|SCHERCODINE I AMIDO-AMINE",ISOSTEARAMIDOPROPYL DIMETHYLAMINE,chemical,12a02423-7349-4d6f-bfe5-aaf6e2448a8e,ISOSTEARAMIDOPROPYL DIMETHYLAMINE,67799-04-6,267-101-1,,,,,,,,C23H48N2O,,CC(C)CCCCCCCCCCCCCCC(=O)NCCCN(C)C,INGREDIENT SUBSTANCE,,,,
4024,133294-39-0,133294-39-0,,,,,,,,,,,,,,,M11333,,,,,3NMV4X935P,,,,,,,"DISODIUM URIDINE 5'-DIPHOSPHATE TRIHYDRATE|URIDINE 5'-DIPHOSPHATE SODIUM SALT TRIHYDRATE|URIDINE 5'-(TRIHYDROGEN DIPHOSPHATE), DISODIUM SALT, TRIHYDRATE",DISODIUM URIDINE 5'-DIPHOSPHATE TRIHYDRATE,chemical,12a83801-679f-41dd-8b3d-ef6969f715e8,DISODIUM URIDINE 5'-DIPHOSPHATE TRIHYDRATE,133294-39-0,,,,,,,,,C9H11N2O12P2.H+.2Na.3H2O,,,INGREDIENT SUBSTANCE,,,,
4035,166022-16-8,166022-16-8,,,,,,,,,,,,,,,,,,,,C5YD55048E,,,,,,,"MENTHONE-8-THIOACETATE, CIS-|ETHANETHIOIC ACID, S-(1-METHYL-1-((1R,4S)-4-METHYL-2-OXOCYCLOHEXYL)ETHYL) ESTER, REL-|ETHANETHIOIC ACID, S-(1-METHYL-1-(4-METHYL-2-OXOCYCLOHEXYL)ETHYL) ESTER, CIS-|ETHANETHIOIC ACID, S-(1-METHYL-1-(4-METHYL-2-OXOCYCLOHEXYL)ETHYL) ESTER, CIS-(+/-)-","MENTHONE-8-THIOACETATE, CIS-",chemical,12b58516-7ca8-45d0-aa2e-fc21eb533e04,"MENTHONE-8-THIOACETATE, CIS-",166022-16-8,,,,,,,,,C12H20O2S,,C[C@H]1CC[C@H](C(=O)C1)C(C)(C)SC(=O)C,INGREDIENT SUBSTANCE,,,,
4038,1333-82-0,1333-82-0,,,,,215-607-8,,,,,,,,,,M3509,C028801,C45886,,1539810,8LV49809UC,,,,,CHROMIUM TRIOXIDE,,CHROMIUM TRIOXIDE|CHROMIUM OXIDE (CRO3)|CHROMIUM(VI) OXIDE|CHROMIUM(6+) OXIDE|CHROMIC ANHYDRIDE|CHROMICUM ACIDUM|CHROMIC TRIOXIDE,CHROMIUM TRIOXIDE,chemical,12b79ae2-59c6-4f51-a214-ad664e2171b8,CHROMIUM TRIOXIDE,1333-82-0,215-607-8,C45886,1539810.0,,,,,,Cr.3O,GAMDZJFZMJECOS-UHFFFAOYSA-N,[O-2].[O-2].[O-2].[Cr+6],INGREDIENT SUBSTANCE,Q931335,Q931335,WGLPBDUCMAPZCE-UHFFFAOYSA-N,
4042,123612-42-0,123612-42-0,,,,,,,,,,,,,,,,,,,,06VGX43Z8S,,,,,,,"PROPANOIC ACID, 2-(4-((4-CHLOROPHENYL)HYDROXYMETHYL)PHENOXY)-2-METHYL-, (+)-|FENIROFIBRATE, (+)-","FENIROFIBRATE, (+)-",chemical,12ba2d39-6df3-484d-ba36-e490af4bfa21,"FENIROFIBRATE, (+)-",123612-42-0,,,,,,,,,C17H17ClO4,,CC(C)(C(=O)O)Oc1ccc(cc1)C(c2ccc(cc2)Cl)O,INGREDIENT SUBSTANCE,,,,
4100,3681-99-0,3681-99-0,,,,,,,,,,,,,,,,C033607,,,,Z9W8997416,,,,,PUERARIN,,"PUERARIN|PUERARIN 80 MM|4H-1-BENZOPYRAN-4-ONE, 8-.BETA.-D-GLUCOPYRANOSYL-7-HYDROXY-3-(4-HYDROXYPHENYL)-|DAIDZEIN 8-C-GLUCOSIDE|KAKONEIN|NPI 031G",PUERARIN,chemical,130ac74c-3d25-445d-928d-997eace1a1d5,PUERARIN,3681-99-0,,,,,,,,,C21H20O9,HKEAFJYKMMKDOR-VPRICQMDSA-N,c1cc(ccc1c2coc3c(c2=O)ccc(c3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,INGREDIENT SUBSTANCE,Q4392082,Q4392082,HKEAFJYKMMKDOR-YWFAZRBLSA-N,
4157,66230-04-4,66230-04-4,,,,,,,109303,,,,,,,,M5307,,,,,7F07OXM0PP,,,,,,,"ESFENVALERATE|BENZENEACETIC ACID, 4-CHLORO-.ALPHA.-(1-METHYLETHYL)-, (S)-CYANO(3-PHENOXYPHENYL)METHYL ESTER, (.ALPHA.S)-|(S)-.ALPHA.-CYANO-3-PHENOXYBENZYL (S)-2-(4-CHLOROPHENYL)ISOVALERATE|(S,S)-FENVALERATE|1S,1'S-FENVALERATE|A.ALPHA.|OMS-3023|S-1844|S-5602.ALPHA.|SUMI-.ALPHA.|ASANA|ESFENVALERATE, (-)-|FENVALERATE (S,S)-ISOMER",ESFENVALERATE,chemical,13473f96-684c-4863-a3d6-6c8dc02e4618,ESFENVALERATE,66230-04-4,,,,,,,,,C25H22ClNO3,NYPJDWWKZLNGGM-RPWUZVMVSA-N,CC(C)[C@@H](c1ccc(cc1)Cl)C(=O)O[C@H](C#N)c2cccc(c2)Oc3ccccc3,INGREDIENT SUBSTANCE,Q424851,Q424851,MGESLRBFLFBLHS-UQTORGHUSA-N,
4161,58493-54-2|53808-86-9,58493-54-2,,,,,,,,,,,,,,,,,C90701,,,9SFK0PX55W,,,,,,,"GLYCOPYRROLATE, D-|GLYCOPYRRONIUM BROMIDE, THREO-|PYRROLIDINIUM, 3-(((2R)-2-CYCLOPENTYL-2-HYDROXY-2-PHENYLACETYL)OXY)-1,1-DIMETHYL-, BROMIDE (1:1), (3R)-REL-|PYRROLIDINIUM, 3-((CYCLOPENTYLHYDROXYPHENYLACETYL)OXY)-1,1-DIMETHYL-, BROMIDE, (R*,R*)-|GLYCOPYRROLATE, THREO-|THREO-GLYCOPYRRONIUM BROMIDE|بروميد ريتروبيرونيوم|bromure de ritropirronium|ritropirronii bromidum|利吡咯溴铵|bromuro de ritropirronio|ритропиррония бромид","GLYCOPYRROLATE, THREO-",chemical,134c137e-cdfd-433b-a751-0de0ed23be29,"GLYCOPYRROLATE, THREO-",58493-54-2,,C90701,,,,,,,C19H28NO3.Br,,C[N+]1(CC[C@H](C1)OC(=O)[C@](c2ccccc2)(C3CCCC3)O)C.[Br-],INGREDIENT SUBSTANCE,,,,
4241,164579-32-2,164579-32-2,,,,,,PANTOZOL CONTROL (AUTHORIZED: GASTROESOPHAGEAL REFLUX)|CONTROLOC CONTROL (AUTHORIZED: GASTROESOPHAGEAL REFLUX)|PANTOLOC CONTROL (AUTHORIZED: GASTROESOPHAGEAL REFLUX)|SOMAC CONTROL (AUTHORIZED: GASTROESOPHAGEAL REFLUX)|PANTECTA CONTROL (AUTHORIZED: GASTROESOPHAGEAL REFLUX),,,,,,,,,,,C61877,,253191|236632,6871619Q5X,,,,,,,"PANTOPRAZOLE SODIUM|PANTOPRAZOLE SODIUM SESQUIHYDRATE|PROTONIX|1H-BENZIMIDAZOLE, 5-(DIFLUOROMETHOXY)-2-(((3,4-DIMETHOXY-2-PYRIDYL)METHYL)SULFINYL)-, SODIUM SALT, HYDRATE (2:3)|5-(DIFLUOROMETHOXY)-2-(((3,4-DIMETHOXY-2-PYRIDYL)METHYL)SULFINYL)BENZIMIDAZOLE, SODIUM SALT, SESQUIHYDRATE|PANTOPRAZOLE SODIUM HYDRATE|SODIUM 5-(DIFLUOROMETHOXY)-2-((RS)-((3,4-DIMETHOXYPYRIDIN-2-YL)METHYL)SULFINYL)BENZIMIDAZOL-1-IDE SESQUIHYDRATE|1H-BENZIMIDAZOLE, 6-(DIFLUOROMETHOXY)-2-(((3,4-DIMETHOXY-2-PYRIDINYL)METHYL)SULFINYL)-, SODIUM SALT, HYDRATE (2:2:3)|PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE)|PANTOPRAZOLE (AS SODIUM)|CONTROLOC CONTROL|PANTECTA CONTROL|PANTOLOC CONTROL|PANTOZOL CONTROL|SOMAC CONTROL",PANTOPRAZOLE SODIUM,chemical,13ac850b-6790-4b0c-86ba-72fc5de1082e,PANTOPRAZOLE SODIUM,164579-32-2,,C61877,236632.0,,,,,,2C16H14F2N3O4S.2Na.3H2O,,COc1ccnc(c1OC)C[S+](c2[n-]c3cc(ccc3n2)OC(F)F)[O-].COc1ccnc(c1OC)C[S+](c2[n-]c3cc(ccc3n2)OC(F)F)[O-].O.O.O.[Na+].[Na+],INGREDIENT SUBSTANCE,,,,
4310,20699-48-3,20699-48-3,,,,,,,,,,,,,,,,,,,,184SY81JID,,,,,,,"2,3-BUTANEDIAMINE, (R*,R*)-(+/-)-|2,3-BUTANEDIAMINE, (R*,R*)-|2,3-BUTANEDIAMINE, (2R,3R)-REL-|2,3-BUTANEDIAMINE, (+/-)-|(+/-)-2,3-DIAMINOBUTANE|DL-2,3-DIAMINOBUTANE","2,3-BUTANEDIAMINE, (R*,R*)-(+/-)-",chemical,13fff5ea-2d62-4492-bbf7-89ee696bc0d6,"2,3-BUTANEDIAMINE, (R*,R*)-(+/-)-",20699-48-3,,,,,,,,,C4H12N2,,C[C@H]([C@@H](C)N)N,INGREDIENT SUBSTANCE,,,,
4375,89-78-1,89-78-1,,,,,201-939-0,,,,,6724.0,,,,,,,C75073,,1430390,YS08XHA860,,,,,,,"RACEMENTHOL|DL-MENTHOL|(+/-)-(1R*,3R*,4S*)-MENTHOL|CYCLOHEXANOL, 5-METHYL-2-(1-METHYLETHYL)-, (1R,2S,5R)-REL-|CYCLOHEXANOL, 5-METHYL-2-(1-METHYLETHYL)-, (1.ALPHA.,2.BETA.,5.ALPHA.)-|MENTHOL, CIS-1,3,TRANS-1,4-|MENTHOL, DL-|(1R,2S,5R)-REL-5-METHYL-2-(1-METHYLETHYL)CYCLOHEXANOL|(+/-)-MENTHOL|RAC-MENTHOL|FEMA NO. 2665, (+/-)-|NSC-2603|MENTHOL, (+/-)-|MEGGEZONE|راسيمانثول|racémenthol|racementholum|消旋薄荷脑|racementol|рацементол",RACEMENTHOL,chemical,144e8061-d80a-414a-ab31-36701d8cf6ce,RACEMENTHOL,89-78-1,201-939-0,C75073,1430390.0,,,,,6724.0,C10H20O,,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,INGREDIENT SUBSTANCE,Q27032492,,,
4416,131479-19-1,131479-19-1,,,,,,,,,,,,,,,,,,,,53H23A2TIH,,,,,,,"(+/-)-LASIOL|5-HEPTEN-1-OL, 2,3,6-TRIMETHYL-, (2R,3R)-REL-|LASIOL, (+/-)-|LASIOL",LASIOL,chemical,148d451b-0e59-42a7-bf65-8e89fa01e533,LASIOL,131479-19-1,,,,,,,,,C10H20O,,C[C@@H](CC=C(C)C)[C@H](C)CO,INGREDIENT SUBSTANCE,,,,
4436,68-91-7,68-91-7,,,,,200-696-8,,,SUB11305MIG,,296.0,,,,,M11146,C017774,C66639,,38680,8W556014K9,,,,,,,"TRIMETHAPHAN CAMSYLATE|THIENO(1',2':1,2)THIENO(3,4-D)IMIDAZOL-5-IUM, DECAHYDRO-2-OXO-1,3-BIS(PHENYLMETHYL)-, SALT WITH (+)-7,7-DIMETHYL-2-OXOBICYCLO(2.2.1)HEPTANE-1-METHANESULFONIC ACID (1:1)|(+)-1,3-DIBENZYLDECAHYDRO-2-OXOIMIDAZO(4,5-C)THIENO(1,2-A)-THIOLIUM 2-OXO-10-BORNANESULFONATE (1:1)|ARFONAD|TRIMETAPHAN CAMSILATE|NU-2222|TRIMETAPHAN CAMSYLATE|كامسيلات ثلاثي ميتافان|camsilate de trimétaphan|trimetaphani camsilas|樟磺咪芬|cansilato de trimetafán|триметафана камсилат",TRIMETHAPHAN CAMSYLATE,chemical,14a33627-1a54-4fb5-8597-766109c89f44,TRIMETHAPHAN CAMSYLATE,68-91-7,200-696-8,C66639,38680.0,,,,,296.0,C22H25N2OS.C10H15O4S,,CC1([C@@H]2CC[C@]1(C(=O)C2)CS(=O)(=O)[O-])C.c1ccc(cc1)CN2C3C[S+]4CCCC4C3N(C2=O)Cc5ccccc5,INGREDIENT SUBSTANCE,Q27108485,Q7842197,,
4440,13709-49-4,13709-49-4,,,,,237-257-5,,,,,,,,,,,,,,1313762,V8QS7WES60,,,,,,,YTTRIUM FLUORIDE|YTTRIUM TRIFLUORIDE,YTTRIUM FLUORIDE,chemical,14a500f3-7999-43a9-87fe-a94a760737cb,YTTRIUM FLUORIDE,13709-49-4,237-257-5,,1313762.0,,,,,,F.Y,XTUCDNXPQOEOCD-UHFFFAOYSA-M,[F-].[Y+3],INGREDIENT SUBSTANCE,Q419717,Q419717,RBORBHYCVONNJH-UHFFFAOYSA-K,
4442,100403-19-8,,,,,,309-560-3,,,,,,,,,,,,,,1426448,C04977SRJ5,,,,,,,CERAMIDE 2|PALMITOYL-C16-DIHYDROSPHINGOSINE|1-STEAROYL-C18-SPHINGOSINE|CERAMIDE II|CERAMIDE 2 PURE|CERAMIDE TIC-001|CERAMIDE NG|CERAMIDE NS|CERAMIDE 2 (RETIRED),CERAMIDE NG,chemical,14a68cc5-0ac9-4f0e-a4d7-c6e33cb1ccfd,CERAMIDE NG,100403-19-8,309-560-3,,1426448.0,,,,,,C36H73NO3,,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](CCCCCCCCCCCCCCC)O,INGREDIENT SUBSTANCE,,,,
4495,16721-38-3,16721-38-3,,,,,240-775-4,,,,,,,,,,,,,,,G7666796PG,,,,,,,"2-CYCLOHEXEN-1-OL, 3-METHYL-6-(1-METHYLETHYL)-, (1R,6S)-REL-|2-CYCLOHEXEN-1-OL, 3-METHYL-6-(1-METHYLETHYL)-, CIS-|P-MENTH-1-EN-3-OL, CIS-|(+/-)-CIS-PIPERITOL|CIS-PIPERITOL|CIS-P-MENTH-1-EN-3-OL|FEMA NO. 3179, CIS-(+/-)-|P-MENTH-1-EN-3-OL, CIS-(+/-)-","P-MENTH-1-EN-3-OL, CIS-(+/-)-",chemical,14df80e0-339f-424a-9849-31f35d5606b7,"P-MENTH-1-EN-3-OL, CIS-(+/-)-",16721-38-3,240-775-4,,,,,,,,C10H18O,,CC1=C[C@@H]([C@@H](CC1)C(C)C)O,INGREDIENT SUBSTANCE,,,,
4526,537-40-6,537-40-6,,,,,208-666-6,,,,,,,,,,,C009564,,,1655559,V5LJ52OGS7,,,,,,,"TRILINOLEIN|EFADERMA-F|9,12-OCTADECADIENOIC ACID (9Z,12Z)-, 1,1',1''-(1,2,3-PROPANETRIYL) ESTER|9,12-OCTADECADIENOIC ACID (9Z,12Z)-, 1,2,3-PROPANETRIYL ESTER|9,12-OCTADECADIENOIC ACID (Z,Z)-, 1,2,3-PROPANETRIYL ESTER|LINOLEIN, TRI-|GLYCEROL TRILINOLEATE",TRILINOLEIN,chemical,15015e79-f783-4ccd-89e5-8ff6b30e5acd,TRILINOLEIN,537-40-6,208-666-6,,1655559.0,,,,,,C57H98O6,HBOQXIRUPVQLKX-BBWANDEASA-N,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC,INGREDIENT SUBSTANCE,Q3539173,Q3539173,HBOQXIRUPVQLKX-UHFFFAOYSA-N,
4541,14214-84-7,14214-84-7,,,,,,,,,,,7257,,,,,D010115,C78076,,7818,D2G5508Y7I,,A03AB53|A03AB03,,QA03AB03|QA03AB53,,,"ETHANAMINIUM, 2-((CYCLOHEXYLHYDROXYPHENYLACETYL)OXY)-N,N-DIETHYL-N-METHYL-|2-(2-CYCLOHEXYL(HYDROXY)PHENYLACETOXY)-N,N-DIETHYL-N-METHYLETHANAMINIUM|OXYPHENONIUM CATION|OXYPHENONIUM|OXYPHENONIUM ION|ETHANAMINIUM, 2-((2-CYCLOHEXYL-2-HYDROXY-2-PHENYLACETYL)OXY)-N,N-DIETHYL-N-METHYL-",OXYPHENONIUM,chemical,1516f568-40eb-408a-a122-62f2d2e0c32b,OXYPHENONIUM,14214-84-7,,C78076,7818.0,,,,,,C21H34NO3,,CC[N+](C)(CC)CCOC(=O)C(c1ccccc1)(C2CCCCC2)O,IONIC MOIETY,,,,
4552,119306-37-5,119306-37-5,,,,,,,,,,,,,,,,,,,,1346Q758L9,,,,,,,"NIAPRAZINE, (+)-|3-PYRIDINECARBOXAMIDE, N-(3-(4-(4-FLUOROPHENYL)-1-PIPERAZINYL)-1-METHYLPROPYL)-, (+)-","NIAPRAZINE, (+)-",chemical,15226acc-ee55-481d-98b3-4c979304cb96,"NIAPRAZINE, (+)-",119306-37-5,,,,,,,,,C20H25FN4O,,CC(CCN1CCN(CC1)c2ccc(cc2)F)NC(=O)c3cccnc3,INGREDIENT SUBSTANCE,,,,
4567,61101-06-2,61101-06-2,,,,,,,,,,,,,,,,,,,,AC5F37X43K,,,,,,,"HEXACALCIUM HEXASODIUM HEPTACITRATE|1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, CALCIUM SODIUM SALT (7:6:6)|ACETOLYT",HEXACALCIUM HEXASODIUM HEPTACITRATE,chemical,153d94ab-10b2-47b3-97e8-21ab91cfad05,HEXACALCIUM HEXASODIUM HEPTACITRATE,61101-06-2,,,,,,,,,7C6H5O7.3H+.6Ca.6Na,,,INGREDIENT SUBSTANCE,,,,
4588,7789-59-5,7789-59-5,,,,,232-177-7,,,,,,,,,,M8730,,,,,H98H8Y87QQ,,,,,,,PHOSPHORUS OXYBROMIDE|PHOSPHORIC TRIBROMIDE|PHOSPHORYL BROMIDE|PHOSPHORYL TRIBROMIDE|PHOSPHONYL TRIBROMIDE|PHOSPHORUS BROMIDE OXIDE (PBR3O)|UN1939|UN-1939|UN2576|UN-2576,PHOSPHORUS OXYBROMIDE,chemical,15567081-6ae5-4368-975b-3cb2d9a72b6c,PHOSPHORUS OXYBROMIDE,7789-59-5,232-177-7,,,,,,,,Br3OP,UXCDUFKZSUBXGM-UHFFFAOYSA-N,O=P(Br)(Br)Br,INGREDIENT SUBSTANCE,Q7187576,Q7187576,DKOISUJEGWEZRP-UHFFFAOYSA-N,
4630,7803-55-6,7803-55-6,,,,,232-261-3,,,,,,,,,,M1835,C101036,,,,FL85PX638G,,,,,AMMONIUM METAVANADATE,,"AMMONIUM VANADATE|AMMONIUM METAVANADATE|NSC-215196|AMMONIUM VANADIUM OXIDE (NH4VO3)|AMMONIUM METAVANADATE (NH4VO3)|VANADIC ACID (HVO3), AMMONIUM SALT|AMMONIUM MONOVANADATE|AMMONIUM VANADIUM|AMMONIUM VANADATE(V)",AMMONIUM METAVANADATE,chemical,1595e7ee-51a9-4384-bea5-ed776d0accbd,AMMONIUM METAVANADATE,7803-55-6,232-261-3,,,,,,,,O3V.H4N,UNTBPXHCXVWYOI-UHFFFAOYSA-O,[NH4+].[O-][V](=O)=O,INGREDIENT SUBSTANCE,Q414394,Q414394,NMODLPTUBQDTMU-UHFFFAOYSA-N,
4636,508-67-8,508-67-8,,,,,,,,,,,,,,,,,,,,9V3T5CCW5U,,,,,,,"GERMERINE|CEVANE-3,4,7,14,15,16,20-HEPTOL, 4,9-EPOXY-, 3-(2-HYDROXY-2-METHYLBUTANOATE) 15-(2-METHYLBUTANOATE), (3.BETA.(S),4.ALPHA.,7.ALPHA.,15.ALPHA.(R),16.BETA.)-|CEVANE-3,4,7,14,15,16,20-HEPTOL, 4,9-EPOXY-, 3-((2S)-2-HYDROXY-2-METHYLBUTANOATE) 15-((2R)-2-METHYLBUTANOATE), (3.BETA.,4.ALPHA.,7.ALPHA.,15.ALPHA.,16.BETA.)-|CEVANE-3.BETA.,4.BETA.,7.ALPHA.,14,15.ALPHA.,16.BETA.,20-HEPTOL, 4,9-EPOXY-, 15-((+)-2-HYDROXY-2-METHYLBUTYRATE) 3-((-)-2-METHYLBUTYRATE)|VERATENSIN|VERATENSINE",GERMERINE,chemical,159afa28-29aa-4c51-be3c-016c9b1321c7,GERMERINE,508-67-8,,,,,,,,,C37H59NO11,JOBMMOBXVRRLOS-ZXBXDNBOSA-N,CC[C@@H](C)C(=O)O[C@H]1[C@@H]([C@H]2[C@@H](CN3C[C@H](CC[C@H]3[C@@]2(C)O)C)[C@H]4[C@@]1([C@@H]5[C@@H](C[C@H]6[C@]7([C@]5(C4)O[C@]6([C@H](CC7)OC(=O)[C@](C)(CC)O)O)C)O)O)O,INGREDIENT SUBSTANCE,Q27273265,Q27273265,JOBMMOBXVRRLOS-BZMUIYTCSA-N,
4653,3776-92-9,3776-92-9,,,,,223-232-6,,,,,,,,,,M195,,,,,3I528CI6MM,,,,,,,"FURFENOREX CYCLOHEXYLSULFAMATE, (+)-|FURFURYLMETHYLAMPHETAMINE D-FORM CYCLOHEXYLSULFAMATE|SULFAMIC ACID, CYCLOHEXYL-, COMPD. WITH (+)-N-METHYL-N-(1-METHYL-2-PHENYLETHYL)-2-FURANMETHANAMINE (1:1)|FURFENOREX CYCLAMATE, (+)-|FURFENOREX CYCLAMATE","FURFENOREX CYCLAMATE, (+)-",chemical,15abcaa2-611f-4cd8-9740-f7c0390cb819,"FURFENOREX CYCLAMATE, (+)-",3776-92-9,223-232-6,,,,,,,,C15H19NO.C6H13NO3S,,CC(Cc1ccccc1)N(C)Cc2ccco2.C1CCC(CC1)NS(=O)(=O)O,INGREDIENT SUBSTANCE,,,,
4657,6493-69-2,6493-69-2,,,,,,,,,,,,,,,,,,,,Q19F03K4Y4,,,,,,,"STANNOUS CITRATE|1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, TIN(2+) SALT (1:1)",STANNOUS CITRATE,chemical,15b5c91e-c7e5-45ec-85ce-4727a2ec85a3,STANNOUS CITRATE,6493-69-2,,,,,,,,,C6H5O7.H+.Sn,,,INGREDIENT SUBSTANCE,,,,
